code_pays,pays,code,num,nbre_habitant,accroiss_pop,kcal_p_an_ani,prot_g_p_an_ani,proport_prot_ani,pib_habitant,stab_politic,imp_volaile_tonne
2,Afghanistan,AFG,4,37171921,2.41,69715.0,3938.35,0.08,483.89,-2.75,25000.0
202,Afrique du Sud,ZAF,710,57792518,1.37,174835.0,13150.95,0.28,6369.23,-0.22,515000.0
3,Albanie,ALB,8,2882740,-0.05,366095.0,22538.75,0.48,5254.38,0.38,12000.0
4,Algérie,DZA,12,42228407,2.03,142350.0,9026.45,0.19,4153.96,-0.83,0.0
79,Allemagne,DEU,276,83124418,0.56,396390.0,23370.95,0.5,47684.76,0.6,871000.0
7,Angola,AGO,24,30809787,3.33,75920.0,5953.15,0.13,3289.64,-0.32,335000.0
8,Antigua-et-Barbuda,ATG,28,96286,0.9,270100.0,18885.1,0.4,16672.74,0.85,7000.0
9,Argentine,ARG,32,44361150,0.97,380695.0,25203.25,0.54,11719.08,0.02,13000.0
1,Arménie,ARM,51,2951745,0.24,290175.0,16549.1,0.35,4220.53,-0.44,33000.0
10,Australie,AUS,36,24898152,1.28,383615.0,25805.5,0.55,58596.83,1.0,16000.0
11,Autriche,AUT,40,8891388,0.81,425590.0,24027.95,0.51,51183.78,0.91,114000.0
52,Azerbaïdjan,AZE,31,9949537,1.06,201845.0,11873.45,0.25,4735.14,-0.7,35000.0
12,Bahamas,BHS,44,385636,1.02,281780.0,19126.0,0.41,33767.77,0.87,26000.0
16,Bangladesh,BGD,50,161376708,1.06,46720.0,4584.4,0.1,1670.8,-0.99,0.0
14,Barbade,BRB,52,286640,0.14,259880.0,18622.3,0.4,17745.89,0.92,2000.0
255,Belgique,BEL,56,11482178,0.55,418655.0,21381.7,0.46,47354.64,0.41,303000.0
23,Belize,BLZ,84,383070,1.94,213890.0,11249.3,0.24,4884.74,0.01,0.0
53,Bénin,BEN,204,11485044,2.77,43800.0,4544.25,0.1,1241.82,-0.13,117000.0
19,Bolivie (État plurinational de),BOL,68,11353142,1.43,198560.0,12942.9,0.28,3548.59,-0.28,0.0
80,Bosnie-Herzégovine,BIH,70,3323925,-0.82,224110.0,13497.7,0.29,6072.25,-0.39,12000.0
20,Botswana,BWA,72,2254067,2.22,145270.0,10227.3,0.22,8279.84,0.98,5000.0
21,Brésil,BRA,76,209469323,0.79,313900.0,19626.05,0.42,9001.17,-0.39,3000.0
27,Bulgarie,BGR,100,7051608,-0.72,256595.0,15315.4,0.33,9387.81,0.46,108000.0
233,Burkina Faso,BFA,854,19751466,2.91,58035.0,4164.65,0.09,813.1,-1.05,0.0
115,Cambodge,KHM,116,16249792,1.5,75190.0,6942.3,0.15,1512.13,0.11,15000.0
32,Cameroun,CMR,120,25216267,2.65,42705.0,4109.9,0.09,1534.49,-1.39,2000.0
33,Canada,CAN,124,37074562,0.93,324120.0,20713.75,0.44,46444.4,0.99,177000.0
40,Chili,CHL,152,18729160,1.4,295285.0,18104.0,0.39,15924.79,0.44,160000.0
50,Chypre,CYP,196,1189265,0.81,243820.0,16644.0,0.36,28967.58,0.5,14000.0
44,Colombie,COL,170,49661047,1.54,198925.0,13618.15,0.29,6716.91,-0.79,90000.0
46,Congo,COD,180,5244359,2.62,78840.0,9632.35,0.21,2547.52,-0.34,122000.0
48,Costa Rica,CRI,188,4999441,1.0,254405.0,16779.05,0.36,12112.13,0.48,15000.0
107,Côte d'Ivoire,CIV,384,25069230,2.59,40150.0,5208.55,0.11,2314.03,-0.89,1000.0
98,Croatie,HRV,191,4156404,-0.63,338720.0,20330.5,0.43,14674.02,0.81,26000.0
49,Cuba,CUB,192,11338133,-0.01,198195.0,12570.6,0.27,8821.82,0.66,284000.0
54,Danemark,DNK,208,5752126,0.35,474500.0,29101.45,0.62,62043.06,0.95,141000.0
72,Djibouti,DJI,262,958923,1.57,79935.0,5117.3,0.11,3048.59,-0.13,3000.0
55,Dominique,DMA,212,71625,0.23,236885.0,16030.8,0.34,7687.57,1.1,4000.0
59,Égypte,EGY,818,98423598,2.05,110230.0,9643.3,0.21,2537.51,-1.17,46000.0
60,El Salvador,SLV,222,6420746,0.51,160235.0,9822.15,0.21,4067.66,-0.38,20000.0
58,Équateur,ECU,218,17084358,1.78,195275.0,11216.45,0.24,6295.94,-0.08,0.0
203,Espagne,ESP,724,46692858,0.1,312805.0,24356.45,0.52,30457.63,0.3,189000.0
63,Estonie,EST,233,1322920,0.27,417560.0,23878.3,0.51,23154.19,0.59,30000.0
209,Eswatini,SWZ,748,1136281,1.02,95630.0,6372.9,0.14,4152.37,-0.36,2000.0
231,États-Unis d'Amérique,USA,840,327096265,0.62,374855.0,26820.2,0.57,63014.66,0.47,128000.0
238,Éthiopie,ETH,231,109224414,2.65,37960.0,2390.75,0.05,734.36,-1.27,1000.0
185,Fédération de Russie,RUS,643,145734038,0.14,313535.0,20290.35,0.43,11448.64,-0.53,225000.0
66,Fidji,FJI,242,883483,0.69,170820.0,10376.95,0.22,6267.01,0.88,5000.0
67,Finlande,FIN,246,5522576,0.2,485815.0,27531.95,0.59,49967.0,0.92,17000.0
68,France,FRA,250,64990511,0.23,408435.0,23524.25,0.5,41491.61,0.04,533000.0
74,Gabon,GAB,266,2119275,2.64,132495.0,13643.7,0.29,8018.82,-0.25,80000.0
75,Gambie,GMB,270,2280094,2.99,67160.0,6124.7,0.13,734.58,-0.07,21000.0
73,Géorgie,GEO,268,4002942,-0.14,201115.0,11402.6,0.24,4396.67,-0.43,51000.0
81,Ghana,GHA,288,29767102,2.22,47085.0,5610.05,0.12,2201.58,-0.02,205000.0
84,Grèce,GRC,300,10522246,-0.45,296745.0,21925.55,0.47,20171.53,0.17,82000.0
86,Grenade,GRD,308,111454,0.52,208050.0,14749.65,0.31,10485.91,0.99,7000.0
89,Guatemala,GTM,320,17247849,1.97,105485.0,7938.75,0.17,4239.28,-0.53,118000.0
90,Guinée,GIN,324,12414293,2.87,48180.0,4146.4,0.09,878.6,-0.87,43000.0
175,Guinée-Bissau,GNB,624,1874303,2.52,60955.0,3368.95,0.07,737.58,-0.68,4000.0
93,Haïti,HTI,332,11123178,1.28,59130.0,3865.35,0.08,834.95,-0.63,97000.0
95,Honduras,HND,340,9587521,1.68,125560.0,8008.1,0.17,2505.77,-0.52,18000.0
97,Hongrie,HUN,348,9707499,-0.23,393105.0,18698.95,0.4,16525.25,0.75,61000.0
25,Îles Salomon,SLB,90,652857,2.64,73730.0,5610.05,0.12,2000.52,0.29,5000.0
101,Indonésie,IDN,360,267670543,1.14,70445.0,7949.7,0.17,3893.74,-0.54,0.0
104,Irlande,IRL,372,4818690,1.38,440190.0,26283.65,0.56,80137.06,1.03,105000.0
99,Islande,ISL,352,336713,0.69,602615.0,38317.7,0.82,76437.78,1.41,1000.0
105,Israël,ISR,376,8381516,1.67,306235.0,27261.85,0.58,44214.91,-0.9,0.0
106,Italie,ITA,380,60627291,-0.08,316090.0,20783.1,0.44,34498.41,0.35,94000.0
109,Jamaïque,JAM,388,2934847,0.48,189070.0,13479.45,0.29,5360.0,0.44,34000.0
110,Japon,JPN,392,127202192,-0.24,205130.0,17739.0,0.38,38952.21,1.06,1089000.0
112,Jordanie,JOR,400,9965318,1.83,120815.0,8475.3,0.18,4308.18,-0.41,64000.0
108,Kazakhstan,KAZ,398,18319618,1.33,323390.0,19965.5,0.43,9789.5,-0.03,195000.0
114,Kenya,KEN,404,51392565,2.33,89790.0,5445.8,0.12,1708.0,-1.17,1000.0
113,Kirghizistan,KGZ,417,6304030,1.85,214255.0,12377.15,0.26,1312.03,-0.58,29000.0
83,Kiribati,KIR,296,115847,1.48,131035.0,13154.6,0.28,1698.24,1.03,2000.0
118,Koweït,KWT,414,4137312,2.0,246010.0,18604.05,0.4,33999.24,0.11,147000.0
122,Lesotho,LSO,426,2108328,0.8,105850.0,7033.55,0.15,1221.12,-0.17,17000.0
119,Lettonie,LVA,428,1928458,-1.16,375585.0,23024.2,0.49,17846.38,0.42,47000.0
121,Liban,LBN,422,6859408,0.59,119720.0,8201.55,0.18,8012.54,-1.62,10000.0
123,Libéria,LBR,430,4818973,2.48,48545.0,4263.2,0.09,569.61,-0.25,39000.0
126,Lituanie,LTU,440,2801264,-1.55,371935.0,28780.25,0.61,19178.09,0.75,45000.0
256,Luxembourg,LUX,442,604245,2.08,434350.0,24626.55,0.53,117369.54,1.37,12000.0
129,Madagascar,MDG,450,26262313,2.71,49275.0,3416.4,0.07,523.95,-0.57,0.0
131,Malaisie,MYS,458,31528033,1.36,186880.0,15760.7,0.34,11377.57,0.26,72000.0
130,Malawi,MWI,454,18143217,2.68,51830.0,3401.8,0.07,395.76,-0.42,0.0
132,Maldives,MDV,462,515696,3.89,205130.0,17917.85,0.38,10279.21,0.1,13000.0
133,Mali,MLI,466,19077749,3.05,122640.0,8201.55,0.18,894.81,-2.08,0.0
134,Malte,MLT,470,439248,0.3,349670.0,24115.55,0.51,33345.95,1.29,9000.0
143,Maroc,MAR,504,36029093,1.26,122275.0,10143.35,0.22,3277.8,-0.34,3000.0
137,Maurice,MUS,480,1267185,0.21,180310.0,15041.65,0.32,11191.56,0.88,3000.0
136,Mauritanie,MRT,478,4403313,2.82,154030.0,10825.9,0.23,1600.88,-0.62,29000.0
138,Mexique,MEX,484,126190788,1.13,254405.0,16344.7,0.35,9673.42,-0.57,983000.0
141,Mongolie,MNG,496,3170216,1.81,358430.0,20750.25,0.44,4134.98,0.84,12000.0
273,Monténégro,MNE,499,627809,0.04,454060.0,25648.55,0.55,8771.63,0.05,9000.0
144,Mozambique,MOZ,508,29496004,2.96,41975.0,2960.15,0.06,503.3,-0.81,25000.0
28,Myanmar,MMR,104,53708320,0.61,194180.0,15103.7,0.32,1370.69,-1.26,1000.0
147,Namibie,NAM,516,2448301,1.9,111690.0,8409.6,0.18,5495.31,0.7,26000.0
149,Népal,NPL,524,28095714,1.68,84315.0,5183.0,0.11,995.1,-0.6,0.0
157,Nicaragua,NIC,558,6465501,1.26,110960.0,7175.9,0.15,2020.55,-0.94,7000.0
158,Niger,NER,562,22442822,3.89,66795.0,4259.55,0.09,571.27,-1.35,2000.0
159,Nigéria,NGA,566,195874683,2.62,30660.0,2679.1,0.06,2153.53,-2.09,18000.0
162,Norvège,NOR,578,5337962,0.79,420845.0,24787.15,0.53,81335.65,1.15,2000.0
156,Nouvelle-Zélande,NZL,554,4743130,0.87,327770.0,18823.05,0.4,43836.15,1.54,1000.0
221,Oman,OMN,512,4829473,3.51,227760.0,15355.55,0.33,16521.22,0.66,120000.0
226,Ouganda,UGA,800,42729035,3.8,68985.0,4471.25,0.1,694.8,-0.69,0.0
235,Ouzbékistan,UZB,860,32476244,1.62,219730.0,13041.45,0.28,1551.68,-0.29,7000.0
165,Pakistan,PAK,586,212228286,2.08,191990.0,9668.85,0.21,1338.98,-2.26,1000.0
166,Panama,PAN,591,4176869,1.71,225935.0,15600.1,0.33,15544.72,0.27,21000.0
169,Paraguay,PRY,600,6956066,1.3,141255.0,10249.2,0.22,5805.68,-0.07,1000.0
150,Pays-Bas,NLD,528,17059560,0.22,421575.0,25480.65,0.54,53579.54,0.86,585000.0
170,Pérou,PER,604,31989260,1.73,123735.0,10869.7,0.23,6941.23,-0.26,70000.0
171,Philippines,PHL,608,106651394,1.41,154760.0,9606.8,0.21,3102.73,-1.08,282000.0
173,Pologne,POL,616,37921592,-0.08,370840.0,21144.45,0.45,15490.09,0.5,77000.0
174,Portugal,PRT,620,10256193,-0.31,381425.0,27145.05,0.58,23626.03,1.14,85000.0
37,République centrafricaine,CAF,140,4666367,1.53,91980.0,7216.05,0.15,475.95,-2.17,5000.0
56,République dominicaine,DOM,214,10627141,1.08,178850.0,12220.2,0.26,8050.65,0.03,57000.0
183,Roumanie,ROU,642,19506113,-0.75,343830.0,19556.7,0.42,12387.19,0.06,141000.0
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,GBR,826,67141684,0.62,353320.0,21155.4,0.45,42556.52,0.04,802000.0
184,Rwanda,RWA,646,12301970,2.68,37595.0,3036.8,0.06,783.34,0.12,0.0
189,Sainte-Lucie,LCA,662,181889,0.52,292365.0,19538.45,0.42,11357.88,1.01,10000.0
188,Saint-Kitts-et-Nevis,KNA,659,52441,0.76,257325.0,18063.85,0.39,19275.42,0.7,3000.0
191,Saint-Vincent-et-les Grenadines,VCT,670,110211,0.35,230315.0,18425.2,0.39,7361.33,0.85,8000.0
244,Samoa,WSM,882,196129,0.4,289080.0,19005.55,0.41,4250.0,1.18,18000.0
193,Sao Tomé-et-Principe,STP,678,211028,1.9,69715.0,6051.7,0.13,1968.25,0.53,2000.0
195,Sénégal,SEN,686,15854323,2.82,55480.0,4996.85,0.11,1465.59,-0.09,0.0
272,Serbie,SRB,688,8802754,-0.3,290175.0,15351.9,0.33,7214.96,0.02,17000.0
197,Sierra Leone,SLE,694,7650150,2.16,34310.0,4182.9,0.09,533.99,-0.08,18000.0
199,Slovaquie,SVK,703,5453014,0.09,308790.0,13654.65,0.29,19384.13,0.75,87000.0
198,Slovénie,SVN,705,2077837,0.07,297475.0,18698.95,0.4,26066.35,0.91,23000.0
276,Soudan,SDN,728,41801532,2.42,130670.0,7354.75,0.16,1156.98,-1.81,0.0
38,Sri Lanka,LKA,144,21228763,0.48,70810.0,6475.1,0.14,4165.38,-0.14,0.0
210,Suède,SWE,752,9971638,0.67,383980.0,24655.75,0.53,55703.52,0.95,81000.0
211,Suisse,CHE,756,8525610,0.83,408800.0,21848.9,0.47,86315.13,1.34,45000.0
207,Suriname,SUR,740,575990,0.96,119355.0,9019.15,0.19,6015.02,0.07,22000.0
208,Tadjikistan,TJK,762,9100835,2.48,82490.0,4566.15,0.1,853.22,-0.74,14000.0
39,Tchad,TCD,148,15477729,3.07,45260.0,3774.1,0.08,734.73,-1.47,1000.0
216,Thaïlande,THA,764,69428453,0.32,138700.0,9876.9,0.21,7273.56,-0.79,2000.0
176,Timor-Leste,TLS,626,1267974,1.99,93805.0,6219.6,0.13,1230.23,0.24,9000.0
217,Togo,TGO,768,7889093,2.48,33215.0,3197.4,0.07,904.11,-0.88,22000.0
220,Trinité-et-Tobago,TTO,780,1389842,0.42,223745.0,16176.8,0.35,17038.05,0.25,24000.0
222,Tunisie,TUN,788,11565201,1.15,145635.0,10446.3,0.22,3438.85,-0.86,2000.0
213,Turkménistan,TKM,795,5850901,1.62,239805.0,13063.35,0.28,6964.61,0.0,31000.0
223,Turquie,TUR,792,82340088,1.51,220825.0,14417.5,0.31,9453.25,-1.31,6000.0
230,Ukraine,UKR,804,44246155,-0.54,225205.0,13964.9,0.3,2958.49,-1.86,133000.0
234,Uruguay,URY,858,3449285,0.37,292365.0,16870.3,0.36,17278.06,1.04,6000.0
155,Vanuatu,VUT,548,292680,2.51,150380.0,9968.15,0.21,3125.26,0.83,4000.0
237,Viet Nam,VNM,704,95545962,1.0,245645.0,14475.9,0.31,2566.45,0.11,593000.0
249,Yémen,YEM,887,28498682,2.39,51830.0,3788.7,0.08,803.65,-2.99,96000.0
251,Zambie,ZMB,894,17351708,2.96,58035.0,5000.5,0.11,1556.34,0.09,11000.0
181,Zimbabwe,ZWE,716,14438802,1.42,58035.0,4230.35,0.09,1683.77,-0.71,4000.0
